store_id,store_name,store_number,format,address,city,state,postal_code,country,region,open_date,close_date,sq_ft
29,Croma Express Dibrugarh #29,29,Express,7294 MG Road,Dibrugarh,Assam,662863,India,India,2019-01-23,,8380
30,Croma Outlet Mumbai #30,30,Outlet,7450 Station Road,Mumbai,Maharashtra,456493,India,India,2024-02-11,,28636
31,Croma Kiosk Shimla #31,31,Kiosk,455 High Street,Shimla,Himachal Pradesh,274373,India,India,2024-04-20,,26745
32,Croma Express Raipur #32,32,Express,1807 Mall Road,Raipur,Chhattisgarh,860793,India,India,2024-03-26,,24752
33,Croma Flagship Durgapur #33,33,Flagship,9231 High Street,Durgapur,West Bengal,812868,India,India,2019-02-20,,3959
34,Croma Kiosk Faridabad #34,34,Kiosk,1747 Station Road,Faridabad,Haryana,173361,India,India,2020-01-30,,4283
35,Croma Express Dibrugarh #35,35,Express,4544 Mall Road,Dibrugarh,Assam,177019,India,India,2021-07-12,,9192
36,Croma Mall Chennai #36,36,Mall,6754 High Street,Chennai,Tamil Nadu,544664,India,India,2018-08-23,,1552
37,Croma Kiosk Bhopal #37,37,Kiosk,1547 Station Road,Bhopal,Madhya Pradesh,698438,India,India,2021-07-14,,20698
38,Croma Airport Dehradun #38,38,Airport,6632 High Street,Dehradun,Uttarakhand,747309,India,India,2024-08-30,,22948
39,Croma Outlet Delhi #39,39,Outlet,8222 Station Road,Delhi,Delhi,373798,India,India,2021-04-10,,12475
40,Croma Kiosk Hubballi #40,40,Kiosk,397 High Street,Hubballi,Karnataka,839075,India,India,2021-04-01,,26003
41,Croma Mall Delhi #41,41,Mall,6836 High Street,Delhi,Delhi,724052,India,India,2024-01-30,,7269
42,Croma High Street Raipur #42,42,High Street,1854 Ring Road,Raipur,Chhattisgarh,759037,India,India,2019-04-30,,17924
43,Croma Flagship Guntur #43,43,Flagship,481 Main Bazaar,Guntur,Andhra Pradesh,716210,India,India,2021-12-29,,13159
44,Croma Mall Noida #44,44,Mall,3607 Ring Road,Noida,Uttar Pradesh,302379,India,India,2025-06-02,,18538
45,Croma Mall Solan #45,45,Mall,4187 Ring Road,Solan,Himachal Pradesh,349343,India,India,2018-03-09,,16490
46,Croma High Street Panipat #46,46,High Street,5166 Ring Road,Panipat,Haryana,767224,India,India,2020-01-05,,22106
47,Croma Kiosk Dibrugarh #47,47,Kiosk,5592 Station Road,Dibrugarh,Assam,655730,India,India,2018-08-19,,1173
48,Croma Flagship Dehradun #48,48,Flagship,7719 MG Road,Dehradun,Uttarakhand,342614,India,India,2022-06-23,,12594
49,Croma Kiosk Varanasi #49,49,Kiosk,4528 High Street,Varanasi,Uttar Pradesh,320742,India,India,2022-01-10,,15793
50,Croma Flagship Bhilai #50,50,Flagship,9522 High Street,Bhilai,Chhattisgarh,307029,India,India,2025-01-16,,16687
51,Croma Mall Nagpur #51,51,Mall,8582 Station Road,Nagpur,Maharashtra,538161,India,India,2025-03-02,,10598
52,Croma Mall Guntur #52,52,Mall,2270 Station Road,Guntur,Andhra Pradesh,215645,India,India,2023-12-25,,28610
53,Croma Outlet Margao #53,53,Outlet,9391 MG Road,Margao,Goa,522379,India,India,2024-01-17,,17727
54,Croma Flagship Dehradun #54,54,Flagship,8345 MG Road,Dehradun,Uttarakhand,199691,India,India,2022-05-14,,9366
55,Croma Flagship Bhopal #55,55,Flagship,9721 Station Road,Bhopal,Madhya Pradesh,308995,India,India,2021-04-14,,10157
56,Croma Mall Visakhapatnam #56,56,Mall,6377 Ring Road,Visakhapatnam,Andhra Pradesh,770411,India,India,2024-10-17,,14649
57,Croma Kiosk Visakhapatnam #57,57,Kiosk,8467 MG Road,Visakhapatnam,Andhra Pradesh,298348,India,India,2024-01-18,,1731
58,Croma Express New Delhi #58,58,Express,6146 MG Road,New Delhi,Delhi,495872,India,India,2020-06-04,,20444
59,Croma Metro Srinagar #59,59,Metro,2082 MG Road,Srinagar,Jammu & Kashmir,452141,India,India,2019-03-16,,24610
60,Croma High Street Tiruchirappalli #60,60,High Street,4311 Mall Road,Tiruchirappalli,Tamil Nadu,426140,India,India,2021-11-25,,17143
61,Croma Kiosk New Delhi #61,61,Kiosk,5886 Station Road,New Delhi,Delhi,588081,India,India,2018-12-05,,3679
62,Croma Flagship Cuttack #62,62,Flagship,4356 Station Road,Cuttack,Odisha,347028,India,India,2021-08-24,,19201
63,Croma Flagship Kozhikode #63,63,Flagship,8090 Main Bazaar,Kozhikode,Kerala,438919,India,India,2020-03-15,,8014
64,Croma Outlet Margao #64,64,Outlet,5746 Main Bazaar,Margao,Goa,728516,India,India,2020-05-21,,25147
65,Croma Kiosk Dhanbad #65,65,Kiosk,2100 Main Bazaar,Dhanbad,Jharkhand,390629,India,India,2019-04-28,,28363
66,Croma Express Gaya #66,66,Express,2391 Mall Road,Gaya,Bihar,767327,India,India,2020-08-17,,5501
67,Croma Metro Raipur #67,67,Metro,4399 High Street,Raipur,Chhattisgarh,712289,India,India,2025-02-06,,1511
68,Croma Kiosk Bilaspur #68,68,Kiosk,5403 Station Road,Bilaspur,Chhattisgarh,539559,India,India,2019-01-25,,17009
69,Croma Kiosk Shimla #69,69,Kiosk,6963 High Street,Shimla,Himachal Pradesh,789713,India,India,2018-09-03,,24538
70,Croma Express Ahmedabad #70,70,Express,4385 Mall Road,Ahmedabad,Gujarat,845777,India,India,2019-06-19,,21914
71,Croma Mall Jammu #71,71,Mall,7807 Main Bazaar,Jammu,Jammu & Kashmir,465201,India,India,2018-06-03,,21649
72,Croma Metro Delhi #72,72,Metro,5361 MG Road,Delhi,Delhi,329387,India,India,2023-10-11,,21449
73,Croma Mall Vijayawada #73,73,Mall,9115 Station Road,Vijayawada,Andhra Pradesh,306768,India,India,2019-01-27,,7989
74,Croma Express Patna #74,74,Express,9940 Station Road,Patna,Bihar,289073,India,India,2018-12-12,,24125
75,Croma High Street Silchar #75,75,High Street,9661 Mall Road,Silchar,Assam,249725,India,India,2018-04-26,,14547
76,Croma Airport Mysuru #76,76,Airport,9025 Station Road,Mysuru,Karnataka,648366,India,India,2023-04-13,,11982
77,Croma Express Kozhikode #77,77,Express,5217 Mall Road,Kozhikode,Kerala,612993,India,India,2023-06-24,,28291
78,Croma Metro Jaipur #78,78,Metro,8038 Ring Road,Jaipur,Rajasthan,132831,India,India,2022-02-08,,25538
79,Croma Outlet Patna #79,79,Outlet,6031 High Street,Patna,Bihar,647178,India,India,2021-05-30,,2575
80,Croma Express Gurugram #80,80,Express,8348 Station Road,Gurugram,Haryana,668127,India,India,2023-05-31,,28752
81,Croma Kiosk Silchar #81,81,Kiosk,9772 High Street,Silchar,Assam,622999,India,India,2025-05-29,,6736
82,Croma Outlet Salem #82,82,Outlet,2866 High Street,Salem,Tamil Nadu,663640,India,India,2025-01-26,,20767
83,Croma Outlet Kolkata #83,83,Outlet,7609 Ring Road,Kolkata,West Bengal,329855,India,India,2023-09-12,,4944
84,Croma Flagship Guwahati #84,84,Flagship,4444 Station Road,Guwahati,Assam,622317,India,India,2024-04-08,,28875
85,Croma Airport Kozhikode #85,85,Airport,6432 Mall Road,Kozhikode,Kerala,755122,India,India,2019-09-15,,23895
86,Croma Mall Nizamabad #86,86,Mall,2368 Ring Road,Nizamabad,Telangana,798895,India,India,2025-06-23,,9987
87,Croma Kiosk Indore #87,87,Kiosk,2290 High Street,Indore,Madhya Pradesh,676565,India,India,2019-06-09,,6913
88,Croma Outlet Panaji #88,88,Outlet,3051 Station Road,Panaji,Goa,271374,India,India,2025-03-11,,18693
89,Croma High Street Nagpur #89,89,High Street,3629 Mall Road,Nagpur,Maharashtra,491846,India,India,2023-03-23,,14129
90,Croma Mall Warangal #90,90,Mall,2396 Station Road,Warangal,Telangana,642926,India,India,2023-04-13,2023-07-18,12367
91,Croma Flagship Dhanbad #91,91,Flagship,4224 High Street,Dhanbad,Jharkhand,139452,India,India,2023-08-24,,27553
92,Croma Airport Tiruchirappalli #92,92,Airport,7106 Ring Road,Tiruchirappalli,Tamil Nadu,288959,India,India,2020-07-09,,17005
93,Croma Outlet Durgapur #93,93,Outlet,2607 Mall Road,Durgapur,West Bengal,552470,India,India,2023-02-25,,23902
94,Croma Metro Durgapur #94,94,Metro,7226 Mall Road,Durgapur,West Bengal,746075,India,India,2019-01-11,,7715
95,Croma Flagship Puducherry #95,95,Flagship,1908 MG Road,Puducherry,Puducherry,481128,India,India,2019-04-17,,21807
96,Croma Flagship Faridabad #96,96,Flagship,7020 MG Road,Faridabad,Haryana,683469,India,India,2025-04-08,,21583
97,Croma Metro Udaipur #97,97,Metro,5993 Main Bazaar,Udaipur,Rajasthan,119984,India,India,2023-11-05,,9748
98,Croma Airport Tirupati #98,98,Airport,2270 MG Road,Tirupati,Andhra Pradesh,260986,India,India,2022-01-10,,20740
99,Croma High Street Dehradun #99,99,High Street,9188 High Street,Dehradun,Uttarakhand,377236,India,India,2023-03-04,,18694
100,Croma Mall Silchar #100,100,Mall,1620 High Street,Silchar,Assam,421173,India,India,2018-11-26,,3101
101,Croma Metro Dibrugarh #101,101,Metro,9256 MG Road,Dibrugarh,Assam,514995,India,India,2024-11-17,,1519
102,Croma Outlet Warangal #102,102,Outlet,2210 MG Road,Warangal,Telangana,220261,India,India,2019-01-12,,28996
103,Croma High Street Jaipur #103,103,High Street,766 Station Road,Jaipur,Rajasthan,184580,India,India,2021-10-03,,10860
104,Croma Airport Bhubaneswar #104,104,Airport,5289 Station Road,Bhubaneswar,Odisha,601434,India,India,2022-06-27,,29019
105,Croma Flagship Thrissur #105,105,Flagship,686 Main Bazaar,Thrissur,Kerala,371327,India,India,2022-12-02,,4526
106,Croma Mall Jamshedpur #106,106,Mall,9685 Main Bazaar,Jamshedpur,Jharkhand,616291,India,India,2023-08-06,,13406
107,Croma Express Puducherry #107,107,Express,8685 Main Bazaar,Puducherry,Puducherry,257102,India,India,2020-09-14,,11085
108,Croma Flagship Kota #108,108,Flagship,9518 MG Road,Kota,Rajasthan,480639,India,India,2023-12-13,,12874
109,Croma Outlet Kolkata #109,109,Outlet,9097 Ring Road,Kolkata,West Bengal,589500,India,India,2019-03-31,,27184
110,Croma Mall Karnal #110,110,Mall,104 Ring Road,Karnal,Haryana,316195,India,India,2020-12-11,,6337
111,Croma Flagship Dibrugarh #111,111,Flagship,6141 MG Road,Dibrugarh,Assam,377753,India,India,2018-05-29,,28395
112,Croma Mall Dehradun #112,112,Mall,7340 Mall Road,Dehradun,Uttarakhand,809415,India,India,2021-12-27,,23536
113,Croma Metro Bhagalpur #113,113,Metro,577 Ring Road,Bhagalpur,Bihar,792028,India,India,2018-07-12,,6316
114,Croma Express Dehradun #114,114,Express,4583 Ring Road,Dehradun,Uttarakhand,117657,India,India,2024-12-05,,16246
115,Croma Airport Jaipur #115,115,Airport,8964 Ring Road,Jaipur,Rajasthan,684046,India,India,2023-07-22,,18549
116,Croma High Street Visakhapatnam #116,116,High Street,8804 Main Bazaar,Visakhapatnam,Andhra Pradesh,596563,India,India,2020-09-19,,14349
117,Croma Flagship Ludhiana #117,117,Flagship,7237 Station Road,Ludhiana,Punjab,762772,India,India,2019-12-04,,19123
118,Croma Flagship Durgapur #118,118,Flagship,6560 High Street,Durgapur,West Bengal,787527,India,India,2023-04-02,,12083
119,Croma Metro Coimbatore #119,119,Metro,9297 Mall Road,Coimbatore,Tamil Nadu,365022,India,India,2019-09-03,,11364
120,Croma Mall Rajkot #120,120,Mall,9023 MG Road,Rajkot,Gujarat,255423,India,India,2022-04-04,,23671
121,Croma Kiosk Rourkela #121,121,Kiosk,6868 Station Road,Rourkela,Odisha,704285,India,India,2023-09-30,,3526
122,Croma Outlet Puducherry #122,122,Outlet,4143 Ring Road,Puducherry,Puducherry,231195,India,India,2020-09-29,,20285
123,Croma Mall Shimla #123,123,Mall,5037 Station Road,Shimla,Himachal Pradesh,667056,India,India,2018-04-27,,24925
124,Croma Metro Rajkot #124,124,Metro,9675 MG Road,Rajkot,Gujarat,364440,India,India,2019-10-14,,17269
125,Croma Mall Solan #125,125,Mall,1863 MG Road,Solan,Himachal Pradesh,243351,India,India,2024-11-15,,5637
126,Croma Express Panipat #126,126,Express,342 Main Bazaar,Panipat,Haryana,748077,India,India,2019-09-09,,21291
127,Croma Airport Thane #127,127,Airport,9631 MG Road,Thane,Maharashtra,210907,India,India,2021-08-23,,3036
128,Croma Express Jalandhar #128,128,Express,7198 Main Bazaar,Jalandhar,Punjab,421844,India,India,2023-01-01,,14249
129,Croma Mall Cuttack #129,129,Mall,5140 Ring Road,Cuttack,Odisha,216599,India,India,2020-04-17,,23706
130,Croma Kiosk Jabalpur #130,130,Kiosk,3693 Station Road,Jabalpur,Madhya Pradesh,806979,India,India,2019-11-11,,8331
131,Croma Outlet Amritsar #131,131,Outlet,9865 High Street,Amritsar,Punjab,785848,India,India,2020-04-30,,10724
132,Croma Kiosk Bilaspur #132,132,Kiosk,6203 Station Road,Bilaspur,Chhattisgarh,386463,India,India,2023-01-27,,17468
133,Croma Outlet Bhopal #133,133,Outlet,3211 High Street,Bhopal,Madhya Pradesh,288083,India,India,2025-07-07,,15376
134,Croma Mall Patiala #134,134,Mall,979 Mall Road,Patiala,Punjab,432046,India,India,2024-09-09,,19208
135,Croma Express Jabalpur #135,135,Express,3709 Station Road,Jabalpur,Madhya Pradesh,770013,India,India,2025-06-16,,20928
136,Croma Airport Dibrugarh #136,136,Airport,5756 Main Bazaar,Dibrugarh,Assam,661294,India,India,2018-02-25,,14866
137,Croma Outlet Jalandhar #137,137,Outlet,4007 Mall Road,Jalandhar,Punjab,723000,India,India,2021-12-30,,29145
138,Croma Metro Mumbai #138,138,Metro,3878 Ring Road,Mumbai,Maharashtra,293313,India,India,2024-12-05,,27474
139,Croma Mall Rajkot #139,139,Mall,8415 Ring Road,Rajkot,Gujarat,502161,India,India,2024-02-12,,4125
140,Croma Kiosk New Delhi #140,140,Kiosk,6523 MG Road,New Delhi,Delhi,589581,India,India,2025-02-17,,29684
141,Croma Express Dehradun #141,141,Express,6831 Ring Road,Dehradun,Uttarakhand,446798,India,India,2018-01-15,,2973
142,Croma Outlet Chandigarh #142,142,Outlet,2478 Main Bazaar,Chandigarh,Chandigarh,767813,India,India,2019-02-12,,27890
143,Croma High Street Siliguri #143,143,High Street,5595 Mall Road,Siliguri,West Bengal,299916,India,India,2018-12-21,,5695
144,Croma Flagship Gaya #144,144,Flagship,1641 Mall Road,Gaya,Bihar,554160,India,India,2019-01-09,,15996
145,Croma Metro Gurugram #145,145,Metro,7248 Main Bazaar,Gurugram,Haryana,174321,India,India,2023-05-02,,4029
146,Croma High Street Hubballi #146,146,High Street,2982 Main Bazaar,Hubballi,Karnataka,781397,India,India,2020-11-13,,17969
147,Croma Mall Noida #147,147,Mall,1795 High Street,Noida,Uttar Pradesh,287089,India,India,2019-08-04,,26726
148,Croma Airport Gwalior #148,148,Airport,7131 MG Road,Gwalior,Madhya Pradesh,838615,India,India,2022-02-03,,3284
149,Croma Kiosk Gurugram #149,149,Kiosk,9477 Mall Road,Gurugram,Haryana,387046,India,India,2022-10-15,,29201
150,Croma Flagship Jamshedpur #150,150,Flagship,3842 Station Road,Jamshedpur,Jharkhand,744220,India,India,2023-12-01,,1915
151,Croma Express Bilaspur #151,151,Express,4134 Mall Road,Bilaspur,Chhattisgarh,592440,India,India,2022-08-21,,29279
152,Croma Kiosk Jodhpur #152,152,Kiosk,9685 Main Bazaar,Jodhpur,Rajasthan,280897,India,India,2023-10-20,,9499
153,Croma Airport Bhopal #153,153,Airport,9945 Ring Road,Bhopal,Madhya Pradesh,112029,India,India,2024-09-27,,23644
154,Croma Outlet Kochi #154,154,Outlet,5522 Main Bazaar,Kochi,Kerala,788380,India,India,2024-11-12,,13131
155,Croma Metro Shimla #155,155,Metro,6115 Main Bazaar,Shimla,Himachal Pradesh,822843,India,India,2024-07-21,,13166
156,Croma Express Vijayawada #156,156,Express,5846 Main Bazaar,Vijayawada,Andhra Pradesh,477750,India,India,2023-05-20,2024-07-16,16069
157,Croma Mall Belagavi #157,157,Mall,389 Station Road,Belagavi,Karnataka,418240,India,India,2019-04-21,,14947
158,Croma Mall Kota #158,158,Mall,4925 Station Road,Kota,Rajasthan,379866,India,India,2020-04-24,,3352
159,Croma Metro Kanpur #159,159,Metro,824 Station Road,Kanpur,Uttar Pradesh,494953,India,India,2019-02-27,,18381
160,Croma High Street Silchar #160,160,High Street,900 High Street,Silchar,Assam,243105,India,India,2022-09-10,,23565
161,Croma Outlet Chennai #161,161,Outlet,1186 Mall Road,Chennai,Tamil Nadu,865698,India,India,2018-05-31,,28127
162,Croma Kiosk Bilaspur #162,162,Kiosk,402 High Street,Bilaspur,Chhattisgarh,538819,India,India,2024-03-30,,26809
163,Croma Flagship Patna #163,163,Flagship,846 Main Bazaar,Patna,Bihar,436768,India,India,2020-12-31,,18369
164,Croma Outlet Rajkot #164,164,Outlet,809 MG Road,Rajkot,Gujarat,585413,India,India,2023-05-12,,21639
165,Croma Outlet Hyderabad #165,165,Outlet,4719 MG Road,Hyderabad,Telangana,245035,India,India,2020-02-25,,25060
166,Croma Flagship Bhagalpur #166,166,Flagship,2479 Ring Road,Bhagalpur,Bihar,446981,India,India,2021-04-23,,4176
167,Croma Outlet Siliguri #167,167,Outlet,6336 MG Road,Siliguri,West Bengal,486868,India,India,2018-11-02,,1128
168,Croma Airport Vijayawada #168,168,Airport,4539 Mall Road,Vijayawada,Andhra Pradesh,339482,India,India,2021-10-25,,10749
169,Croma Airport Bilaspur #169,169,Airport,1832 Mall Road,Bilaspur,Chhattisgarh,186711,India,India,2023-03-16,,26573
170,Croma Express Hyderabad #170,170,Express,2462 Ring Road,Hyderabad,Telangana,689122,India,India,2019-05-06,,20067
171,Croma Flagship Haridwar #171,171,Flagship,5959 Ring Road,Haridwar,Uttarakhand,306780,India,India,2022-01-13,,21762
172,Croma Kiosk Srinagar #172,172,Kiosk,4711 Mall Road,Srinagar,Jammu & Kashmir,161606,India,India,2020-07-16,,16323
173,Croma Metro Dehradun #173,173,Metro,5013 Ring Road,Dehradun,Uttarakhand,391275,India,India,2022-05-28,,24186
174,Croma Outlet New Delhi #174,174,Outlet,5038 MG Road,New Delhi,Delhi,380983,India,India,2018-10-22,,10104
175,Croma Outlet Indore #175,175,Outlet,785 MG Road,Indore,Madhya Pradesh,415228,India,India,2019-01-04,,22235
176,Croma Mall Kolkata #176,176,Mall,502 High Street,Kolkata,West Bengal,321876,India,India,2025-01-08,,3872
177,Croma Kiosk Kota #177,177,Kiosk,8543 Main Bazaar,Kota,Rajasthan,826190,India,India,2024-01-24,,7972
178,Croma Metro Mangaluru #178,178,Metro,9444 Station Road,Mangaluru,Karnataka,626219,India,India,2022-10-23,,22136
179,Croma Kiosk Kozhikode #179,179,Kiosk,3317 Mall Road,Kozhikode,Kerala,376346,India,India,2022-07-07,,25806
180,Croma Mall Chennai #180,180,Mall,7110 Main Bazaar,Chennai,Tamil Nadu,825323,India,India,2025-03-18,,16280
181,Croma Kiosk Nizamabad #181,181,Kiosk,7760 Main Bazaar,Nizamabad,Telangana,236132,India,India,2019-05-14,,8761
182,Croma Metro Faridabad #182,182,Metro,3411 High Street,Faridabad,Haryana,333744,India,India,2018-02-06,,25048
183,Croma Flagship Dibrugarh #183,183,Flagship,5762 Ring Road,Dibrugarh,Assam,522886,India,India,2020-03-25,,10681
184,Croma Outlet Vadodara #184,184,Outlet,7068 High Street,Vadodara,Gujarat,553146,India,India,2024-03-28,,3730
185,Croma Metro Patiala #185,185,Metro,6039 Ring Road,Patiala,Punjab,747460,India,India,2020-12-08,,24202
186,Croma Airport Agra #186,186,Airport,5428 Mall Road,Agra,Uttar Pradesh,203185,India,India,2021-01-02,,15872
187,Croma Outlet Surat #187,187,Outlet,3704 High Street,Surat,Gujarat,762475,India,India,2023-03-26,,2206
188,Croma Express Udaipur #188,188,Express,1513 Station Road,Udaipur,Rajasthan,158509,India,India,2023-03-18,,27323
189,Croma Kiosk Tiruchirappalli #189,189,Kiosk,8616 Mall Road,Tiruchirappalli,Tamil Nadu,562450,India,India,2022-09-12,,23704
190,Croma Flagship Solan #190,190,Flagship,1962 Station Road,Solan,Himachal Pradesh,167838,India,India,2020-10-09,,27338
191,Croma Express Jamshedpur #191,191,Express,3710 High Street,Jamshedpur,Jharkhand,753984,India,India,2018-02-25,,6377
192,Croma High Street Jamshedpur #192,192,High Street,7891 High Street,Jamshedpur,Jharkhand,592140,India,India,2024-02-29,,27144
193,Croma High Street Kota #193,193,High Street,139 Ring Road,Kota,Rajasthan,519810,India,India,2024-12-06,,25546
194,Croma Mall Bilaspur #194,194,Mall,134 Station Road,Bilaspur,Chhattisgarh,696300,India,India,2018-10-12,,1321
195,Croma Mall Panaji #195,195,Mall,5146 Station Road,Panaji,Goa,247434,India,India,2018-03-28,,26010
196,Croma Airport Nashik #196,196,Airport,1783 Main Bazaar,Nashik,Maharashtra,163344,India,India,2024-08-31,,7380
197,Croma Airport Lucknow #197,197,Airport,6127 Main Bazaar,Lucknow,Uttar Pradesh,144476,India,India,2018-05-29,,17300
198,Croma Outlet Cuttack #198,198,Outlet,8678 Station Road,Cuttack,Odisha,211059,India,India,2022-06-26,,4244
199,Croma High Street Jabalpur #199,199,High Street,3914 High Street,Jabalpur,Madhya Pradesh,197684,India,India,2018-01-21,,8838
200,Croma Mall Guwahati #200,200,Mall,647 MG Road,Guwahati,Assam,430247,India,India,2025-01-23,,1028
201,Croma High Street Indore #201,201,High Street,6400 Ring Road,Indore,Madhya Pradesh,574633,India,India,2022-10-31,,11849
202,Croma High Street Visakhapatnam #202,202,High Street,9702 Ring Road,Visakhapatnam,Andhra Pradesh,157067,India,India,2019-07-21,,2184
203,Croma Metro Silchar #203,203,Metro,1543 Ring Road,Silchar,Assam,741542,India,India,2023-04-28,,11914
204,Croma Flagship Rourkela #204,204,Flagship,2848 Mall Road,Rourkela,Odisha,855181,India,India,2020-04-14,,17457
205,Croma Flagship Coimbatore #205,205,Flagship,3231 Main Bazaar,Coimbatore,Tamil Nadu,174396,India,India,2023-06-17,,4101
206,Croma High Street Dibrugarh #206,206,High Street,2025 High Street,Dibrugarh,Assam,695157,India,India,2019-07-09,,28983
207,Croma Outlet Srinagar #207,207,Outlet,4794 Main Bazaar,Srinagar,Jammu & Kashmir,134276,India,India,2023-04-13,,11090
208,Croma Airport Udaipur #208,208,Airport,936 Main Bazaar,Udaipur,Rajasthan,524467,India,India,2021-09-12,,17129
209,Croma Airport Faridabad #209,209,Airport,5196 Mall Road,Faridabad,Haryana,596368,India,India,2020-11-09,,3785
210,Croma Flagship Warangal #210,210,Flagship,1954 Main Bazaar,Warangal,Telangana,826857,India,India,2022-03-21,,27485
211,Croma Flagship Puducherry #211,211,Flagship,6490 Ring Road,Puducherry,Puducherry,652033,India,India,2024-06-03,,22399
212,Croma Flagship Srinagar #212,212,Flagship,253 Mall Road,Srinagar,Jammu & Kashmir,859777,India,India,2021-06-24,,5871
213,Croma Flagship Aurangabad #213,213,Flagship,4828 Ring Road,Aurangabad,Maharashtra,533078,India,India,2023-11-07,,16105
214,Croma Kiosk Panaji #214,214,Kiosk,9740 Station Road,Panaji,Goa,843184,India,India,2018-06-30,,29538
215,Croma Metro Dehradun #215,215,Metro,8897 Mall Road,Dehradun,Uttarakhand,726515,India,India,2018-02-14,,11050
216,Croma Airport Delhi #216,216,Airport,8791 MG Road,Delhi,Delhi,220359,India,India,2020-08-04,,5492
217,Croma Outlet Thiruvananthapuram #217,217,Outlet,6303 Mall Road,Thiruvananthapuram,Kerala,492180,India,India,2020-03-08,,16220
218,Croma Mall Guwahati #218,218,Mall,7674 Main Bazaar,Guwahati,Assam,838764,India,India,2025-03-18,,3929
219,Croma Airport Margao #219,219,Airport,1799 Ring Road,Margao,Goa,208369,India,India,2023-12-06,,13957
220,Croma Flagship Hubballi #220,220,Flagship,695 MG Road,Hubballi,Karnataka,284540,India,India,2020-05-23,,25765
221,Croma Express Margao #221,221,Express,9863 High Street,Margao,Goa,324538,India,India,2020-06-26,,10486
222,Croma High Street Chandigarh #222,222,High Street,5228 High Street,Chandigarh,Chandigarh,145657,India,India,2020-04-04,,25250
