product_id,product_sku,product_name,brand,category,subcategory,color,size,unit_price,start_date,end_date,is_active
35,CR-IN-TEL-00035,Croma LED C252I,Croma,Televisions,LED,Space Grey,XS,73261.34,2025-06-26,,1
36,CR-IN-SMA-00036,Croma Smart Lights 0AAO3,Croma,Smart Home,Smart Lights,Silver,XL,15486.83,2025-06-01,,1
37,CR-IN-WEA-00037,Croma Smartwatch MYKZ0,Croma,Wearables,Smartwatch,White,XS,35106.48,2024-08-10,,1
38,CR-IN-LAP-00038,Croma Ultrabooks CV51W,Croma,Laptops,Ultrabooks,Purple,XS,110774.83,2022-03-18,,1
39,CR-IN-LAP-00039,Croma Ultrabooks YTEA5,Croma,Laptops,Ultrabooks,Blue,S,61256.5,2023-11-19,,1
40,CR-IN-SMA-00040,Croma Smart Lights BK47G,Croma,Smart Home,Smart Lights,Space Grey,XS,13801.07,2022-05-05,,1
41,CR-IN-WEA-00041,Croma Smartwatch HCVVG,Croma,Wearables,Smartwatch,Space Grey,M,56485.84,2023-07-03,,1
42,CR-IN-APP-00042,Croma Washers 8VGQ8,Croma,Appliances,Washers,Space Grey,XS,48827.8,2023-06-29,2023-08-25,0
43,CR-IN-GAM-00043,Croma Consoles UUZK1,Croma,Gaming,Consoles,White,M,2817.2,2023-07-11,,1
44,CR-IN-GAM-00044,Croma Consoles MIUCM,Croma,Gaming,Consoles,Gold,L,20678.57,2023-03-10,,1
45,CR-IN-TEL-00045,Croma LED 6W74L,Croma,Televisions,LED,White,XS,62214.06,2024-03-06,,1
46,CR-IN-CAM-00046,Croma DSLR IW1VF,Croma,Cameras,DSLR,Red,M,54643.55,2023-09-11,,1
47,CR-IN-AUD-00047,Croma Headphones 2PGHR,Croma,Audio,Headphones,Space Grey,XS,33813.07,2022-07-05,2025-05-08,0
48,CR-IN-CAM-00048,Croma DSLR YRENT,Croma,Cameras,DSLR,Silver,L,186850.13,2024-07-09,,1
49,CR-IN-CAM-00049,Croma DSLR ANY8X,Croma,Cameras,DSLR,Purple,M,214365.33,2023-04-08,,1
50,CR-IN-AUD-00050,Croma Headphones XLTXK,Croma,Audio,Headphones,Silver,L,4949.96,2023-01-26,,1
51,CR-IN-SMA-00051,Croma Smart Lights X8F5E,Croma,Smart Home,Smart Lights,Silver,OneSize,5513.81,2023-06-17,,1
52,CR-IN-APP-00052,Croma Washers AX423,Croma,Appliances,Washers,Blue,XL,146459.12,2025-04-23,,1
53,CR-IN-CAM-00053,Croma DSLR MNSOO,Croma,Cameras,DSLR,Blue,M,5587.31,2024-04-28,,1
54,CR-IN-AUD-00054,Croma Headphones 0I46A,Croma,Audio,Headphones,Silver,M,23317.29,2022-07-04,,1
55,CR-IN-APP-00055,Croma Washers O55WS,Croma,Appliances,Washers,Purple,XS,10412.61,2024-02-23,,1
56,CR-IN-WEA-00056,Croma Smartwatch WTYU1,Croma,Wearables,Smartwatch,Red,XL,39631.51,2024-12-05,2024-12-09,0
57,CR-IN-TEL-00057,Croma LED 9RSBS,Croma,Televisions,LED,Purple,OneSize,249119.24,2024-10-25,,1
58,CR-IN-AUD-00058,Croma Headphones VDBL4,Croma,Audio,Headphones,Gold,S,23588.58,2023-12-06,,1
59,CR-IN-GAM-00059,Croma Consoles 0V5F6,Croma,Gaming,Consoles,Silver,S,30398.93,2024-10-15,,1
60,CR-IN-TEL-00060,Croma LED 5NC2E,Croma,Televisions,LED,Space Grey,XS,169525.67,2022-06-28,,1
61,CR-IN-AUD-00061,Croma Headphones F83B7,Croma,Audio,Headphones,Purple,M,33942.48,2022-09-16,2024-02-23,0
62,CR-IN-MOB-00062,Croma Smartphones F6JJ6,Croma,Mobiles,Smartphones,Blue,M,74525.54,2024-06-30,,1
63,CR-IN-AUD-00063,Croma Headphones K03DL,Croma,Audio,Headphones,Red,XL,29705.38,2025-07-29,,1
64,CR-IN-ACC-00064,Croma Cables 5M2H8,Croma,Accessories,Cables,Purple,L,1147.96,2024-02-18,2024-10-02,0
65,CR-IN-WEA-00065,Croma Smartwatch QEOYL,Croma,Wearables,Smartwatch,Black,M,59847.81,2024-06-01,,1
66,CR-IN-LAP-00066,Croma Ultrabooks D4GWL,Croma,Laptops,Ultrabooks,Silver,M,136515.42,2024-11-02,,1
67,CR-IN-MOB-00067,Croma Smartphones Y36M4,Croma,Mobiles,Smartphones,Red,XS,33582.04,2023-07-21,2024-03-19,0
68,CR-IN-WEA-00068,Croma Smartwatch 3CT2E,Croma,Wearables,Smartwatch,Red,OneSize,54794.5,2024-07-19,2025-02-10,0
69,CR-IN-APP-00069,Croma Washers ETV88,Croma,Appliances,Washers,Silver,S,27726.49,2025-07-26,,1
70,CR-IN-AUD-00070,Croma Headphones 287QG,Croma,Audio,Headphones,Silver,L,17590.49,2022-07-17,,1
71,CR-IN-ACC-00071,Croma Cables 348FN,Croma,Accessories,Cables,Silver,M,5433.12,2023-01-21,,1
72,CR-IN-SMA-00072,Croma Smart Lights SRL0A,Croma,Smart Home,Smart Lights,Red,L,11381.22,2023-01-27,2025-01-07,0
73,CR-IN-LAP-00073,Croma Ultrabooks C3BVW,Croma,Laptops,Ultrabooks,Blue,XL,113367.52,2022-03-16,,1
74,CR-IN-SMA-00074,Croma Smart Lights JKEYX,Croma,Smart Home,Smart Lights,Gold,M,14311.1,2022-01-22,,1
75,CR-IN-MOB-00075,Croma Smartphones 09FOB,Croma,Mobiles,Smartphones,Purple,XL,37223.47,2025-03-08,,1
76,CR-IN-CAM-00076,Croma DSLR 3A9WD,Croma,Cameras,DSLR,Silver,L,177960.58,2022-04-06,,1
77,CR-IN-AUD-00077,Croma Headphones I1KK3,Croma,Audio,Headphones,Red,XS,6069.03,2023-08-24,,1
78,CR-IN-MOB-00078,Croma Smartphones G24ZO,Croma,Mobiles,Smartphones,Gold,S,25784.96,2025-05-09,,1
79,CR-IN-GAM-00079,Croma Consoles 4QSFI,Croma,Gaming,Consoles,Gold,OneSize,65734.26,2022-08-10,,1
80,CR-IN-LAP-00080,Croma Ultrabooks 6GJ5W,Croma,Laptops,Ultrabooks,Red,OneSize,156498.36,2022-10-20,2023-09-12,0
81,CR-IN-AUD-00081,Croma Headphones AARTJ,Croma,Audio,Headphones,Red,XS,14538.73,2023-11-12,,1
82,CR-IN-AUD-00082,Croma Headphones 8NC1H,Croma,Audio,Headphones,Space Grey,M,42899.74,2022-01-24,,1
83,CR-IN-CAM-00083,Croma DSLR GYFU3,Croma,Cameras,DSLR,White,L,186344.47,2025-07-13,,1
84,CR-IN-TEL-00084,Croma LED PXB4C,Croma,Televisions,LED,Black,OneSize,229895.52,2024-03-22,,1
85,CR-IN-GAM-00085,Croma Consoles H6ZY6,Croma,Gaming,Consoles,Silver,M,23399.53,2024-08-02,,1
86,CR-IN-TEL-00086,Croma LED V44Y0,Croma,Televisions,LED,Green,XL,51985.57,2023-09-04,,1
87,CR-IN-LAP-00087,Croma Ultrabooks 8T4H9,Croma,Laptops,Ultrabooks,Gold,XL,65678.64,2022-05-05,,1
88,CR-IN-MOB-00088,Croma Smartphones TJZXV,Croma,Mobiles,Smartphones,Gold,XS,99838.22,2024-11-24,,1
89,CR-IN-WEA-00089,Croma Smartwatch YDGBH,Croma,Wearables,Smartwatch,Blue,XL,51380.12,2022-12-03,,1
90,CR-IN-LAP-00090,Croma Ultrabooks SDTW7,Croma,Laptops,Ultrabooks,Red,XS,41360.98,2025-05-04,,1
91,CR-IN-LAP-00091,Croma Ultrabooks S7419,Croma,Laptops,Ultrabooks,Green,S,129567.8,2022-05-29,,1
92,CR-IN-SMA-00092,Croma Smart Lights IA9VV,Croma,Smart Home,Smart Lights,Gold,M,28939.36,2024-03-13,,1
93,CR-IN-CAM-00093,Croma DSLR JLL15,Croma,Cameras,DSLR,Green,OneSize,180423.63,2024-02-28,,1
94,CR-IN-ACC-00094,Croma Cables OD2AB,Croma,Accessories,Cables,Black,M,771.72,2023-12-10,,1
95,CR-IN-SMA-00095,Croma Smart Lights XU83E,Croma,Smart Home,Smart Lights,Red,XS,18218.55,2022-02-02,,1
96,CR-IN-MOB-00096,Croma Smartphones YWFIZ,Croma,Mobiles,Smartphones,White,M,117115.24,2024-08-17,,1
97,CR-IN-GAM-00097,Croma Consoles QCTQA,Croma,Gaming,Consoles,Gold,S,74090.98,2022-09-01,,1
98,CR-IN-SMA-00098,Croma Smart Lights VWGE2,Croma,Smart Home,Smart Lights,Green,M,18570.69,2025-06-08,,1
99,CR-IN-GAM-00099,Croma Consoles CY4IX,Croma,Gaming,Consoles,White,XS,71357.27,2023-08-23,,1
100,CR-IN-WEA-00100,Croma Smartwatch D33XQ,Croma,Wearables,Smartwatch,Black,XL,13352.01,2023-08-15,,1
101,CR-IN-AUD-00101,Croma Headphones F6A0M,Croma,Audio,Headphones,Red,S,46660.69,2024-06-30,,1
102,CR-IN-CAM-00102,Croma DSLR 9KDT7,Croma,Cameras,DSLR,Black,OneSize,79412.54,2024-02-12,,1
103,CR-IN-TEL-00103,Croma LED NNPMW,Croma,Televisions,LED,White,L,233881.06,2023-02-20,2025-02-07,0
104,CR-IN-CAM-00104,Croma DSLR 0243Y,Croma,Cameras,DSLR,Purple,M,111118.67,2024-06-03,,1
105,CR-IN-GAM-00105,Croma Consoles L495B,Croma,Gaming,Consoles,Red,M,26581.56,2022-12-12,,1
106,CR-IN-CAM-00106,Croma DSLR ECBBS,Croma,Cameras,DSLR,Red,XL,162299.67,2025-03-27,,1
107,CR-IN-AUD-00107,Croma Headphones IL30D,Croma,Audio,Headphones,Green,OneSize,32198.75,2022-08-03,,1
108,CR-IN-LAP-00108,Croma Ultrabooks NXDLZ,Croma,Laptops,Ultrabooks,Gold,L,141016.89,2023-01-10,2024-10-21,0
109,CR-IN-CAM-00109,Croma DSLR XZTYY,Croma,Cameras,DSLR,Black,OneSize,151220.1,2023-09-13,,1
110,CR-IN-ACC-00110,Croma Cables J5CP8,Croma,Accessories,Cables,Green,OneSize,4795.02,2024-09-27,,1
111,CR-IN-WEA-00111,Croma Smartwatch SUF8Q,Croma,Wearables,Smartwatch,Gold,M,55215.96,2024-08-02,,1
112,CR-IN-ACC-00112,Croma Cables YBNCK,Croma,Accessories,Cables,Red,M,6958.05,2024-06-14,,1
113,CR-IN-WEA-00113,Croma Smartwatch DSSBS,Croma,Wearables,Smartwatch,Black,M,26379.62,2022-12-14,,1
114,CR-IN-GAM-00114,Croma Consoles 4GCT5,Croma,Gaming,Consoles,White,M,56717.77,2024-10-24,,1
115,CR-IN-MOB-00115,Croma Smartphones NA43B,Croma,Mobiles,Smartphones,White,S,113990.79,2025-02-01,,1
116,CR-IN-TEL-00116,Croma LED K7GAX,Croma,Televisions,LED,Gold,XL,25344.7,2025-02-02,,1
117,CR-IN-CAM-00117,Croma DSLR 0QNS8,Croma,Cameras,DSLR,Blue,S,102786.95,2023-07-20,,1
118,CR-IN-GAM-00118,Croma Consoles X6I69,Croma,Gaming,Consoles,Space Grey,M,13235.56,2024-11-29,,1
119,CR-IN-GAM-00119,Croma Consoles AU91P,Croma,Gaming,Consoles,Blue,XS,74828.62,2024-08-26,,1
120,CR-IN-AUD-00120,Croma Headphones 04PQ3,Croma,Audio,Headphones,Gold,M,35040.18,2022-03-17,,1
121,CR-IN-ACC-00121,Croma Cables I8XNK,Croma,Accessories,Cables,Red,XL,7029.23,2025-06-28,,1
122,CR-IN-WEA-00122,Croma Smartwatch E4D17,Croma,Wearables,Smartwatch,Green,S,35545.84,2022-04-05,,1
123,CR-IN-GAM-00123,Croma Consoles WR8S2,Croma,Gaming,Consoles,Space Grey,L,6445.23,2023-02-14,2025-03-18,0
124,CR-IN-CAM-00124,Croma DSLR 64JX9,Croma,Cameras,DSLR,Blue,S,236963.84,2023-02-25,,1
125,CR-IN-SMA-00125,Croma Smart Lights HM1U0,Croma,Smart Home,Smart Lights,Purple,XL,26666.9,2022-08-15,,1
126,CR-IN-TEL-00126,Croma LED S9608,Croma,Televisions,LED,Purple,OneSize,214464.58,2022-01-14,,1
127,CR-IN-ACC-00127,Croma Cables R7XZX,Croma,Accessories,Cables,Silver,M,2629.76,2025-06-12,,1
128,CR-IN-WEA-00128,Croma Smartwatch ZHWMZ,Croma,Wearables,Smartwatch,Red,XS,21339.13,2023-09-11,,1
129,CR-IN-WEA-00129,Croma Smartwatch 56FJT,Croma,Wearables,Smartwatch,White,M,28781.87,2025-06-18,,1
130,CR-IN-SMA-00130,Croma Smart Lights THVD0,Croma,Smart Home,Smart Lights,Blue,OneSize,29590.81,2024-05-03,,1
131,CR-IN-GAM-00131,Croma Consoles FD3DA,Croma,Gaming,Consoles,Silver,L,15726.06,2022-10-31,,1
132,CR-IN-LAP-00132,Croma Ultrabooks JW0B6,Croma,Laptops,Ultrabooks,Purple,S,109713.67,2022-08-02,,1
133,CR-IN-TEL-00133,Croma LED 891D5,Croma,Televisions,LED,Silver,OneSize,197497.51,2022-09-23,,1
134,CR-IN-APP-00134,Croma Washers VDR29,Croma,Appliances,Washers,Silver,S,118674.23,2023-08-19,2025-06-24,0
135,CR-IN-GAM-00135,Croma Consoles ORLYL,Croma,Gaming,Consoles,Space Grey,S,46559.68,2025-02-12,,1
136,CR-IN-TEL-00136,Croma LED X1T5B,Croma,Televisions,LED,Silver,XL,129101.62,2024-08-20,,1
137,CR-IN-TEL-00137,Croma LED ORDPB,Croma,Televisions,LED,Gold,XL,173183.58,2023-03-28,,1
138,CR-IN-GAM-00138,Croma Consoles ENVTF,Croma,Gaming,Consoles,Blue,L,24305.49,2022-05-30,,1
139,CR-IN-WEA-00139,Croma Smartwatch 3VWHI,Croma,Wearables,Smartwatch,Gold,XS,12151.97,2023-07-06,,1
140,CR-IN-APP-00140,Croma Washers TQ5UW,Croma,Appliances,Washers,Blue,M,44989.93,2022-02-23,,1
141,CR-IN-LAP-00141,Croma Ultrabooks I6GH4,Croma,Laptops,Ultrabooks,Blue,XS,144022.99,2024-02-19,,1
142,CR-IN-CAM-00142,Croma DSLR DLTJ2,Croma,Cameras,DSLR,Green,OneSize,77574.63,2024-08-20,,1
143,CR-IN-AUD-00143,Croma Headphones 0OSW1,Croma,Audio,Headphones,Purple,S,12210.65,2024-01-03,,1
144,CR-IN-SMA-00144,Croma Smart Lights ZDPLQ,Croma,Smart Home,Smart Lights,Purple,S,5318.35,2024-10-16,,1
145,CR-IN-SMA-00145,Croma Smart Lights O93U6,Croma,Smart Home,Smart Lights,Black,S,25135.4,2024-12-12,,1
146,CR-IN-MOB-00146,Croma Smartphones HPTLM,Croma,Mobiles,Smartphones,Silver,XS,28147.94,2024-09-01,,1
147,CR-IN-MOB-00147,Croma Smartphones ZI9LG,Croma,Mobiles,Smartphones,Silver,XS,74742.2,2024-05-18,,1
148,CR-IN-SMA-00148,Croma Smart Lights 18PBO,Croma,Smart Home,Smart Lights,Red,XL,24894.36,2025-07-06,,1
149,CR-IN-TEL-00149,Croma LED BF9FS,Croma,Televisions,LED,Green,XS,166512.08,2024-10-27,,1
150,CR-IN-MOB-00150,Croma Smartphones DCLWS,Croma,Mobiles,Smartphones,Space Grey,M,79128.17,2023-06-05,,1
151,CR-IN-MOB-00151,Croma Smartphones GA81C,Croma,Mobiles,Smartphones,Green,S,100142.35,2023-08-18,,1
152,CR-IN-CAM-00152,Croma DSLR 1S7GK,Croma,Cameras,DSLR,Blue,XL,45770.57,2022-11-12,,1
153,CR-IN-GAM-00153,Croma Consoles Z7QQT,Croma,Gaming,Consoles,Red,M,78584.86,2023-05-20,,1
154,CR-IN-SMA-00154,Croma Smart Lights 1UMNG,Croma,Smart Home,Smart Lights,Red,XS,4004.55,2023-03-16,,1
155,CR-IN-MOB-00155,Croma Smartphones HMJB6,Croma,Mobiles,Smartphones,White,XL,88433.3,2023-01-08,,1
156,CR-IN-LAP-00156,Croma Ultrabooks XK4H3,Croma,Laptops,Ultrabooks,Green,M,157871.49,2025-01-17,,1
157,CR-IN-MOB-00157,Croma Smartphones 8R20D,Croma,Mobiles,Smartphones,Silver,M,91921.54,2022-04-04,,1
158,CR-IN-ACC-00158,Croma Cables AUH0F,Croma,Accessories,Cables,Purple,M,5372.91,2024-07-01,,1
159,CR-IN-MOB-00159,Croma Smartphones GXA08,Croma,Mobiles,Smartphones,White,S,112339.27,2024-06-21,,1
160,CR-IN-LAP-00160,Croma Ultrabooks PD3BZ,Croma,Laptops,Ultrabooks,Space Grey,M,44762.36,2024-04-03,,1
161,CR-IN-ACC-00161,Croma Cables 9D2S7,Croma,Accessories,Cables,Green,S,1949.25,2022-05-28,,1
162,CR-IN-APP-00162,Croma Washers 70SFH,Croma,Appliances,Washers,Green,XL,21240.06,2024-08-27,,1
163,CR-IN-CAM-00163,Croma DSLR 7L2W1,Croma,Cameras,DSLR,Black,L,107329.84,2024-08-30,,1
164,CR-IN-TEL-00164,Croma LED 9I0FW,Croma,Televisions,LED,Silver,XL,242376.69,2024-02-19,,1
165,CR-IN-ACC-00165,Croma Cables JA599,Croma,Accessories,Cables,Black,OneSize,7322.74,2024-07-22,,1
166,CR-IN-ACC-00166,Croma Cables 7WRBS,Croma,Accessories,Cables,Gold,OneSize,3385.13,2025-01-03,,1
167,CR-IN-ACC-00167,Croma Cables T5Z4F,Croma,Accessories,Cables,Space Grey,S,8629.1,2022-03-13,,1
168,CR-IN-SMA-00168,Croma Smart Lights 4HTEC,Croma,Smart Home,Smart Lights,Black,OneSize,4793.7,2024-07-05,,1
169,CR-IN-AUD-00169,Croma Headphones G562R,Croma,Audio,Headphones,Purple,XL,43634.84,2024-06-07,,1
170,CR-IN-MOB-00170,Croma Smartphones HGEWK,Croma,Mobiles,Smartphones,Green,S,68590.11,2024-12-30,,1
171,CR-IN-GAM-00171,Croma Consoles PG4QP,Croma,Gaming,Consoles,Blue,S,28082.17,2023-10-24,,1
172,CR-IN-MOB-00172,Croma Smartphones 0Z4M7,Croma,Mobiles,Smartphones,Purple,XL,84405.77,2024-02-12,2024-10-16,0
173,CR-IN-GAM-00173,Croma Consoles 6C4C1,Croma,Gaming,Consoles,Space Grey,M,78172.37,2022-01-21,,1
174,CR-IN-SMA-00174,Croma Smart Lights I5FAW,Croma,Smart Home,Smart Lights,Purple,M,5185.5,2022-03-12,,1
175,CR-IN-CAM-00175,Croma DSLR WTHLH,Croma,Cameras,DSLR,Black,M,77650.08,2023-01-10,,1
176,CR-IN-WEA-00176,Croma Smartwatch WMV22,Croma,Wearables,Smartwatch,Silver,XL,53044.38,2024-10-06,,1
177,CR-IN-ACC-00177,Croma Cables J437K,Croma,Accessories,Cables,Green,XS,8750.89,2024-10-01,,1
178,CR-IN-LAP-00178,Croma Ultrabooks GQ31D,Croma,Laptops,Ultrabooks,White,XS,145997.39,2023-06-01,,1
179,CR-IN-APP-00179,Croma Washers VWPDD,Croma,Appliances,Washers,Space Grey,OneSize,145545.46,2024-12-12,,1
180,CR-IN-LAP-00180,Croma Ultrabooks SAN0A,Croma,Laptops,Ultrabooks,Silver,XL,51394.72,2022-10-25,,1
181,CR-IN-MOB-00181,Croma Smartphones D3JXX,Croma,Mobiles,Smartphones,Green,S,27819.76,2022-10-30,,1
182,CR-IN-TEL-00182,Croma LED 18EN9,Croma,Televisions,LED,Silver,M,78770.84,2022-07-22,,1
183,CR-IN-MOB-00183,Croma Smartphones DC6VC,Croma,Mobiles,Smartphones,Green,XS,18848.05,2022-01-18,,1
184,CR-IN-AUD-00184,Croma Headphones 79M07,Croma,Audio,Headphones,Green,L,39962.02,2022-06-26,,1
185,CR-IN-CAM-00185,Croma DSLR DXO44,Croma,Cameras,DSLR,Blue,OneSize,247960.91,2024-08-19,,1
186,CR-IN-GAM-00186,Croma Consoles 3PTML,Croma,Gaming,Consoles,Blue,XS,8935.3,2022-05-12,,1
187,CR-IN-WEA-00187,Croma Smartwatch PBNA9,Croma,Wearables,Smartwatch,Purple,XL,1695.13,2025-02-27,,1
188,CR-IN-SMA-00188,Croma Smart Lights 3SFE9,Croma,Smart Home,Smart Lights,Silver,M,7796.29,2025-02-26,,1
189,CR-IN-APP-00189,Croma Washers MSF2L,Croma,Appliances,Washers,Green,XL,148788.62,2024-01-11,,1
190,CR-IN-CAM-00190,Croma DSLR YWH76,Croma,Cameras,DSLR,Purple,XS,164795.58,2024-10-20,,1
191,CR-IN-WEA-00191,Croma Smartwatch 402EB,Croma,Wearables,Smartwatch,Space Grey,S,51397.62,2024-04-20,,1
192,CR-IN-MOB-00192,Croma Smartphones 7MV1F,Croma,Mobiles,Smartphones,Silver,M,30664.98,2024-09-28,,1
193,CR-IN-GAM-00193,Croma Consoles VU9CY,Croma,Gaming,Consoles,Space Grey,L,9742.35,2023-08-18,,1
194,CR-IN-APP-00194,Croma Washers 471RY,Croma,Appliances,Washers,Purple,XS,6628.8,2023-09-08,,1
195,CR-IN-AUD-00195,Croma Headphones 55FPL,Croma,Audio,Headphones,Purple,OneSize,47794.06,2022-01-19,,1
196,CR-IN-MOB-00196,Croma Smartphones J7Y96,Croma,Mobiles,Smartphones,Black,OneSize,61593.01,2022-10-24,,1
197,CR-IN-GAM-00197,Croma Consoles EFYBC,Croma,Gaming,Consoles,Space Grey,L,6226.18,2024-02-14,,1
198,CR-IN-LAP-00198,Croma Ultrabooks B2QFE,Croma,Laptops,Ultrabooks,Silver,M,59933.62,2025-04-20,,1
199,CR-IN-GAM-00199,Croma Consoles FIS1C,Croma,Gaming,Consoles,Green,S,17935.47,2024-03-21,,1
200,CR-IN-SMA-00200,Croma Smart Lights XP5P9,Croma,Smart Home,Smart Lights,Blue,S,1275.94,2023-12-10,,1
201,CR-IN-AUD-00201,Croma Headphones 4NDX7,Croma,Audio,Headphones,Red,L,13894.61,2023-04-01,,1
202,CR-IN-ACC-00202,Croma Cables 1U588,Croma,Accessories,Cables,Space Grey,OneSize,8278.43,2023-04-22,,1
203,CR-IN-CAM-00203,Croma DSLR K9GT3,Croma,Cameras,DSLR,Space Grey,S,12037.85,2022-07-12,,1
204,CR-IN-TEL-00204,Croma LED VX8KO,Croma,Televisions,LED,Green,OneSize,56674.12,2022-04-22,,1
205,CR-IN-AUD-00205,Croma Headphones X61LO,Croma,Audio,Headphones,Gold,L,2702.77,2022-09-02,,1
206,CR-IN-CAM-00206,Croma DSLR 1WPMK,Croma,Cameras,DSLR,Blue,M,225578.71,2024-01-04,,1
207,CR-IN-TEL-00207,Croma LED BYF7F,Croma,Televisions,LED,Red,XL,211803.93,2024-09-14,,1
208,CR-IN-GAM-00208,Croma Consoles LP9HM,Croma,Gaming,Consoles,Red,OneSize,16085.13,2024-12-22,2025-04-29,0
209,CR-IN-LAP-00209,Croma Ultrabooks YHQHG,Croma,Laptops,Ultrabooks,Purple,M,164630.94,2024-04-27,2025-07-04,0
210,CR-IN-CAM-00210,Croma DSLR 4VKB9,Croma,Cameras,DSLR,Green,S,217751.87,2022-05-23,,1
211,CR-IN-CAM-00211,Croma DSLR R1Q0V,Croma,Cameras,DSLR,Silver,L,152223.74,2023-10-04,,1
212,CR-IN-MOB-00212,Croma Smartphones J177M,Croma,Mobiles,Smartphones,White,M,74453.92,2022-12-19,,1
213,CR-IN-ACC-00213,Croma Cables TMZ99,Croma,Accessories,Cables,Green,XS,5395.15,2023-03-29,,1
214,CR-IN-ACC-00214,Croma Cables 0QHAE,Croma,Accessories,Cables,Silver,XL,2367.88,2022-02-27,,1
