inventory_id,snapshot_date,store_id,product_id,on_hand_qty,on_order_qty,reorder_point,unit_cost
94,2025-09-13,10,9814,51,12,15,199.0
95,2025-09-13,5311,8006,94,4,15,291.39
96,2025-09-13,320,1833,17,11,15,199.0
97,2025-09-13,5948,5039,66,8,15,199.0
98,2025-09-13,3924,950,49,8,15,199.0
99,2025-09-13,3947,9296,67,7,15,199.0
100,2025-09-13,1291,1404,66,16,15,199.0
101,2025-09-13,11992,7963,41,8,15,199.0
102,2025-09-13,1134,8728,73,11,15,199.0
103,2025-09-13,2061,2104,88,8,15,199.0
104,2025-09-13,10810,7788,55,10,15,199.0
105,2025-09-13,9008,2706,78,16,15,199.0
106,2025-09-13,4343,8646,60,16,15,199.0
107,2025-09-13,9939,6933,67,11,15,199.0
108,2025-09-13,3471,8836,73,7,15,284.37
109,2025-09-13,11960,11303,37,4,15,199.0
110,2025-09-13,3296,11681,77,15,15,199.0
111,2025-09-13,5108,6538,59,6,15,199.0
112,2025-09-13,11005,10648,45,17,15,199.0
113,2025-09-13,6119,7178,41,10,15,199.0
114,2025-09-13,8480,7398,47,7,15,199.0
115,2025-09-13,1983,4062,65,8,15,199.0
116,2025-09-13,3682,1050,65,3,15,199.0
117,2025-09-13,5540,345,44,10,15,199.0
118,2025-09-13,9639,9076,92,17,15,199.0
119,2025-09-13,3771,9642,59,5,15,199.0
120,2025-09-13,3609,118,53,13,15,199.0
121,2025-09-13,1164,11598,71,21,15,199.0
122,2025-09-13,10340,965,68,16,15,199.0
123,2025-09-13,3751,1105,64,12,15,199.0
124,2025-09-13,515,5414,42,12,15,199.0
125,2025-09-13,1161,8424,91,17,15,294.93
126,2025-09-13,3900,4563,43,17,15,199.0
127,2025-09-13,10961,7954,108,7,15,199.0
128,2025-09-13,3511,8835,46,0,15,199.0
129,2025-09-13,2168,11852,43,12,15,199.0
130,2025-09-13,9356,9441,101,17,15,199.0
131,2025-09-13,7745,3982,40,14,15,199.0
132,2025-09-13,7750,6670,100,19,15,199.0
133,2025-09-13,3120,1546,22,20,15,199.0
134,2025-09-13,1589,10797,87,2,15,199.0
135,2025-09-13,7063,5805,60,12,15,199.0
136,2025-09-13,6940,6736,73,5,15,199.0
137,2025-09-13,7652,11946,62,15,15,199.0
138,2025-09-13,888,11033,35,2,15,199.0
139,2025-09-13,10707,10588,67,7,15,205.52
140,2025-09-13,1613,994,62,19,15,199.0
141,2025-09-13,6597,11932,105,22,15,199.0
142,2025-09-13,5560,1791,81,15,15,199.0
143,2025-09-13,4074,3140,38,16,15,199.0
144,2025-09-13,3117,8787,21,4,15,199.0
145,2025-09-13,7351,2297,54,16,15,199.59
146,2025-09-13,6913,3007,61,21,15,199.0
147,2025-09-13,4564,7580,22,11,15,199.0
148,2025-09-13,4093,1236,59,0,15,199.0
149,2025-09-13,7261,9017,31,16,15,199.0
150,2025-09-13,1605,829,39,8,15,199.0
151,2025-09-13,10685,8857,58,17,15,199.0
152,2025-09-13,242,1529,71,8,15,199.0
153,2025-09-13,3873,2725,57,5,15,199.0
154,2025-09-13,6659,7957,33,23,15,199.0
155,2025-09-13,7887,3503,44,13,15,199.0
156,2025-09-13,6571,961,55,15,15,199.0
157,2025-09-13,2698,6210,48,8,15,199.0
158,2025-09-13,36,6397,9,2,15,199.0
159,2025-09-13,4346,7455,96,10,15,199.0
160,2025-09-13,4674,6931,66,30,15,199.0
161,2025-09-13,11413,11969,57,6,15,199.0
162,2025-09-13,9106,10845,64,7,15,199.0
163,2025-09-13,11771,7974,45,5,15,222.99
164,2025-09-13,2537,3112,79,11,15,199.0
165,2025-09-13,4862,3567,61,6,15,202.09
166,2025-09-13,959,9490,71,5,15,199.0
167,2025-09-13,8884,999,40,3,15,199.0
168,2025-09-13,5139,937,102,3,15,199.0
169,2025-09-13,822,9572,45,9,15,199.0
170,2025-09-13,7812,8239,40,12,15,199.0
171,2025-09-13,8702,2580,65,11,15,199.0
172,2025-09-13,932,8321,40,8,15,199.0
173,2025-09-13,1313,3045,71,6,15,199.0
174,2025-09-13,1123,9750,76,1,15,199.0
175,2025-09-13,1114,11063,45,15,15,199.0
176,2025-09-13,3854,6616,20,2,15,199.0
177,2025-09-13,1965,9334,65,6,15,199.0
178,2025-09-13,4034,9486,23,11,15,199.0
179,2025-09-13,9741,652,45,12,15,199.0
180,2025-09-13,10148,1344,51,18,15,199.0
181,2025-09-13,6869,10771,78,5,15,199.0
182,2025-09-13,9563,9261,91,0,15,199.0
183,2025-09-13,8566,5184,72,10,15,199.0
184,2025-09-13,4273,3347,46,12,15,199.0
185,2025-09-13,10973,11735,85,13,15,199.0
186,2025-09-13,5148,3911,50,9,15,199.0
187,2025-09-13,4352,6485,68,9,15,199.0
188,2025-09-13,2145,11005,105,17,15,199.0
189,2025-09-13,10576,4916,86,9,15,199.0
190,2025-09-13,7492,5181,37,0,15,199.0
191,2025-09-13,1189,153,60,22,15,199.0
192,2025-09-13,7509,10178,55,16,15,199.0
193,2025-09-13,9225,1639,65,16,15,199.0
194,2025-09-13,1201,8809,85,14,15,199.0
195,2025-09-13,3493,8289,73,25,15,199.0
196,2025-09-13,4346,2171,65,9,15,199.0
197,2025-09-13,5719,1128,78,6,15,199.0
198,2025-09-13,4003,6055,49,14,15,199.0
199,2025-09-13,4670,2585,82,8,15,199.0
200,2025-09-13,7180,8901,38,9,15,199.0
201,2025-09-13,11527,4957,76,6,15,199.0
202,2025-09-13,10022,10715,89,14,15,249.86
203,2025-09-13,8667,129,42,4,15,199.0
204,2025-09-13,10943,9087,92,15,15,199.0
205,2025-09-13,4906,10869,66,5,15,351.53
206,2025-09-13,1698,2201,62,12,15,199.0
207,2025-09-13,4334,1892,70,13,15,199.0
208,2025-09-13,1754,9065,70,23,15,199.0
209,2025-09-13,2547,4463,95,8,15,199.0
210,2025-09-13,4617,9910,57,12,15,199.0
211,2025-09-13,3451,11758,22,21,15,199.0
212,2025-09-13,5618,3336,50,5,15,199.0
213,2025-09-13,11264,10392,78,12,15,199.0
214,2025-09-13,4326,8281,31,9,15,220.58
215,2025-09-13,8005,4115,54,2,15,199.0
216,2025-09-13,833,1513,54,0,15,199.0
217,2025-09-13,10393,6940,54,16,15,245.72
218,2025-09-13,4534,723,84,10,15,199.0
219,2025-09-13,59,5465,116,12,15,199.0
220,2025-09-13,2144,10439,59,13,15,199.0
221,2025-09-13,4292,2648,47,8,15,199.0
222,2025-09-13,7240,9039,48,7,15,199.0
223,2025-09-13,11562,7008,54,21,15,199.0
224,2025-09-13,9190,159,84,19,15,199.0
225,2025-09-13,1833,1233,52,9,15,199.0
226,2025-09-13,11322,2443,42,5,15,231.87
227,2025-09-13,8939,591,80,19,15,199.0
228,2025-09-13,6050,9544,35,8,15,199.0
229,2025-09-13,9053,2427,33,16,15,199.0
230,2025-09-13,7042,2089,51,16,15,199.0
231,2025-09-13,686,5051,52,18,15,199.0
232,2025-09-13,5975,654,73,15,15,199.0
233,2025-09-13,5863,3442,67,4,15,199.0
234,2025-09-13,11175,4089,55,8,15,199.0
235,2025-09-13,10928,1685,44,3,15,199.0
236,2025-09-13,5795,9174,73,4,15,232.22
237,2025-09-13,6659,10169,14,22,15,199.0
238,2025-09-13,2533,3879,57,8,15,199.0
239,2025-09-13,2663,2901,59,18,15,199.0
240,2025-09-13,6756,407,63,9,15,199.0
241,2025-09-13,2939,5443,66,1,15,199.0
242,2025-09-13,6746,10976,76,13,15,199.0
243,2025-09-13,4066,4372,60,14,15,199.0
244,2025-09-13,2609,11490,42,13,15,199.0
245,2025-09-13,1772,6268,68,1,15,199.0
246,2025-09-13,635,7712,70,13,15,199.0
247,2025-09-13,3645,3270,96,18,15,199.0
248,2025-09-13,7542,5729,31,8,15,199.0
249,2025-09-13,5001,3729,71,7,15,199.0
250,2025-09-13,3653,388,43,8,15,199.0
251,2025-09-13,10814,3165,39,3,15,199.0
252,2025-09-13,6529,5379,83,6,15,393.18
253,2025-09-13,4565,1138,70,13,15,199.0
254,2025-09-13,4574,5754,75,8,15,199.0
255,2025-09-13,10511,8347,116,11,15,199.0
256,2025-09-13,6549,11134,44,11,15,234.47
257,2025-09-13,8786,5426,46,22,15,199.0
258,2025-09-13,453,1890,47,15,15,199.0
259,2025-09-13,4280,2926,73,2,15,199.0
260,2025-09-13,9513,4350,54,11,15,199.0
261,2025-09-13,627,1777,63,3,15,199.0
262,2025-09-13,9775,7120,73,15,15,199.0
263,2025-09-13,5664,11937,78,14,15,199.0
264,2025-09-13,5140,7150,23,14,15,199.0
265,2025-09-13,9933,8380,65,4,15,199.0
266,2025-09-13,1895,6312,83,11,15,199.0
267,2025-09-13,9447,3115,60,12,15,199.0
268,2025-09-13,4174,728,48,12,15,199.0
269,2025-09-13,11613,7145,50,10,15,199.0
270,2025-09-13,28,8519,49,19,15,199.0
271,2025-09-13,8822,11254,55,9,15,199.0
272,2025-09-13,11788,10988,64,18,15,199.0
273,2025-09-13,3229,5968,65,17,15,199.0
274,2025-09-13,7067,1147,83,8,15,199.0
275,2025-09-13,10883,5410,110,9,15,199.0
276,2025-09-13,10210,5144,91,21,15,199.0
277,2025-09-13,10869,2042,50,10,15,199.0
278,2025-09-13,11793,4921,39,5,15,199.0
279,2025-09-13,8309,5068,59,13,15,205.44
280,2025-09-13,10927,6692,38,17,15,199.0
281,2025-09-13,5345,6593,58,16,15,199.0
282,2025-09-13,11424,4845,68,12,15,199.0
283,2025-09-13,9084,2086,66,26,15,199.0
284,2025-09-13,3144,6889,48,8,15,199.0
285,2025-09-13,10895,6212,45,19,15,199.0
286,2025-09-13,11098,2852,47,7,15,199.0
287,2025-09-13,10085,9325,47,15,15,199.0
288,2025-09-13,4931,6654,26,21,15,238.02
289,2025-09-13,8978,7,46,9,15,199.0
290,2025-09-13,4979,4701,67,15,15,270.68
291,2025-09-13,3444,7044,56,7,15,199.0
292,2025-09-13,9503,9940,43,11,15,237.83
293,2025-09-13,10727,5280,48,13,15,199.0
294,2025-09-13,7619,7239,86,27,15,199.0
295,2025-09-13,7245,11070,49,18,15,199.0
296,2025-09-13,3502,8376,100,15,15,199.0
297,2025-09-13,7753,2781,72,18,15,199.0
298,2025-09-13,10795,1390,71,18,15,199.0
299,2025-09-13,4650,8446,90,15,15,199.0
300,2025-09-13,10877,10371,63,19,15,199.0
301,2025-09-13,10146,5492,68,9,15,199.0
302,2025-09-13,1531,3849,88,13,15,199.0
303,2025-09-13,11024,5086,30,16,15,199.0
304,2025-09-13,3681,3263,107,10,15,199.0
305,2025-09-13,2415,401,65,21,15,199.0
306,2025-09-13,758,4012,66,15,15,199.0
307,2025-09-13,7785,10016,50,13,15,199.0
308,2025-09-13,1194,7462,37,12,15,199.0
309,2025-09-13,6791,10319,86,2,15,199.0
310,2025-09-13,9432,3186,68,21,15,199.0
311,2025-09-13,11770,11410,47,23,15,199.0
312,2025-09-13,6292,8100,11,14,15,199.0
313,2025-09-13,6548,3998,37,16,15,199.0
314,2025-09-13,2418,10749,47,4,15,199.0
315,2025-09-13,11267,91,74,11,15,245.38
316,2025-09-13,1747,6966,36,2,15,199.0
317,2025-09-13,3586,2882,58,13,15,199.0
318,2025-09-13,11402,8487,67,4,15,199.0
319,2025-09-13,7612,823,58,18,15,199.0
320,2025-09-13,9133,4083,70,15,15,199.0
321,2025-09-13,1989,7479,74,19,15,199.0
322,2025-09-13,2185,7613,75,11,15,199.0
323,2025-09-13,10938,8703,45,22,15,199.0
324,2025-09-13,9158,9756,28,12,15,199.0
325,2025-09-13,5199,7252,78,8,15,199.0
326,2025-09-13,10038,11785,18,9,15,199.0
327,2025-09-13,8271,6992,25,16,15,199.0
328,2025-09-13,8977,7306,69,6,15,199.0
329,2025-09-13,2608,7778,59,5,15,199.71
330,2025-09-13,7374,4247,79,10,15,199.0
331,2025-09-13,4051,10448,64,0,15,199.0
332,2025-09-13,4544,8541,44,5,15,199.0
333,2025-09-13,7940,10269,99,15,15,199.0
334,2025-09-13,3920,4500,72,20,15,199.0
335,2025-09-13,7207,1270,61,8,15,199.0
336,2025-09-13,11691,4682,68,17,15,199.0
337,2025-09-13,3842,4452,83,8,15,199.0
338,2025-09-13,5503,5239,64,24,15,199.0
339,2025-09-13,8850,1321,98,13,15,199.0
340,2025-09-13,2268,2472,49,10,15,199.0
341,2025-09-13,3789,6276,71,8,15,199.0
342,2025-09-13,11370,2504,107,22,15,199.0
343,2025-09-13,11574,3506,60,12,15,199.0
344,2025-09-13,1053,6798,37,10,15,199.0
345,2025-09-13,6679,5422,68,15,15,199.0
346,2025-09-13,8891,7634,94,4,15,199.0
347,2025-09-13,6813,1021,64,18,15,222.56
348,2025-09-13,3389,6884,49,18,15,199.0
349,2025-09-13,6382,9570,56,17,15,199.0
350,2025-09-13,11396,321,25,20,15,199.0
351,2025-09-13,9433,6233,46,14,15,199.0
352,2025-09-13,7815,97,65,8,15,199.0
353,2025-09-13,5764,4893,59,19,15,199.0
354,2025-09-13,6390,6866,51,16,15,199.0
355,2025-09-13,8819,8948,85,1,15,199.0
356,2025-09-13,9884,3614,35,4,15,199.0
357,2025-09-13,8000,3596,49,14,15,199.0
358,2025-09-13,4472,7141,70,12,15,199.0
359,2025-09-13,7957,476,81,9,15,199.0
360,2025-09-13,6372,5508,50,21,15,199.0
361,2025-09-13,10959,11128,52,9,15,199.0
362,2025-09-13,6625,11865,105,14,15,199.0
363,2025-09-13,2705,7658,82,13,15,199.0
364,2025-09-13,2092,10196,55,11,15,199.0
365,2025-09-13,8752,442,76,12,15,199.0
366,2025-09-13,6456,9698,58,12,15,199.0
367,2025-09-13,9247,10863,80,14,15,199.0
368,2025-09-13,445,1376,0,24,15,199.0
369,2025-09-13,10531,7023,84,5,15,199.0
370,2025-09-13,2224,7565,36,8,15,255.51
371,2025-09-13,2978,824,55,13,15,199.0
372,2025-09-13,4263,6212,70,12,15,199.0
373,2025-09-13,5364,3468,112,11,15,199.0
374,2025-09-13,7450,5356,83,18,15,199.0
375,2025-09-13,5530,6212,74,5,15,215.92
376,2025-09-13,4559,6907,34,13,15,199.0
377,2025-09-13,4134,1342,58,13,15,199.0
378,2025-09-13,7706,318,69,21,15,199.0
379,2025-09-13,8838,854,54,17,15,199.0
380,2025-09-13,5734,3674,32,15,15,199.0
381,2025-09-13,10652,1125,53,20,15,199.0
382,2025-09-13,10679,660,62,10,15,199.0
383,2025-09-13,509,4052,35,3,15,210.93
384,2025-09-13,3267,334,41,6,15,199.0
385,2025-09-13,10180,2497,45,4,15,217.03
386,2025-09-13,3909,2069,82,7,15,313.03
387,2025-09-13,7759,10969,81,10,15,199.0
388,2025-09-13,1875,9241,110,3,15,199.0
389,2025-09-13,3572,7620,82,26,15,199.0
390,2025-09-13,11461,4199,72,15,15,199.0
391,2025-09-13,6044,2750,76,13,15,199.0
392,2025-09-13,9927,9950,58,7,15,199.0
393,2025-09-13,11770,1877,22,11,15,199.0
394,2025-09-13,2684,5097,35,13,15,199.0
395,2025-09-13,1772,9482,80,2,15,199.0
396,2025-09-13,421,5112,80,6,15,199.0
397,2025-09-13,9434,11098,72,6,15,199.0
398,2025-09-13,6150,6499,30,8,15,199.0
399,2025-09-13,11715,3250,24,14,15,199.0
400,2025-09-13,1246,9701,72,13,15,199.0
401,2025-09-13,11316,10277,62,9,15,199.0
402,2025-09-13,3979,1670,71,12,15,199.0
403,2025-09-13,11423,4942,44,8,15,199.0
404,2025-09-13,11211,9838,98,4,15,199.0
405,2025-09-13,1984,9273,44,17,15,199.0
406,2025-09-13,673,5689,87,7,15,199.0
407,2025-09-13,8729,7019,41,24,15,199.0
408,2025-09-13,10839,6072,66,15,15,199.0
409,2025-09-13,1130,8290,55,11,15,199.0
410,2025-09-13,10610,5591,56,17,15,305.25
411,2025-09-13,208,6883,47,3,15,199.0
412,2025-09-13,8032,1730,116,7,15,216.65
413,2025-09-13,7103,5935,96,8,15,199.0
414,2025-09-13,10414,7533,95,9,15,199.0
415,2025-09-13,11589,2507,47,5,15,199.0
416,2025-09-13,7136,2886,33,12,15,199.0
417,2025-09-13,8549,10658,65,2,15,199.0
418,2025-09-13,4426,10092,78,0,15,199.0
419,2025-09-13,8818,7922,87,4,15,221.05
420,2025-09-13,7617,7137,69,7,15,199.0
421,2025-09-13,11978,9708,72,12,15,199.0
422,2025-09-13,4398,5281,39,13,15,199.0
423,2025-09-13,4023,1420,57,6,15,199.0
424,2025-09-13,4570,7386,87,18,15,199.0
425,2025-09-13,3996,7614,35,10,15,199.0
426,2025-09-13,9337,10000,63,25,15,199.0
427,2025-09-13,10948,6210,64,10,15,199.0
428,2025-09-13,5512,471,56,16,15,199.0
429,2025-09-13,8099,5326,42,4,15,199.0
430,2025-09-13,2980,7989,71,5,15,199.0
431,2025-09-13,3476,5814,68,26,15,199.0
432,2025-09-13,4233,5577,78,12,15,199.0
433,2025-09-13,4582,9768,80,10,15,199.0
434,2025-09-13,11489,4527,67,7,15,199.0
435,2025-09-13,9107,167,56,7,15,199.0
436,2025-09-13,8465,3131,40,12,15,199.0
437,2025-09-13,1403,3955,83,14,15,199.0
438,2025-09-13,11798,6659,77,20,15,199.0
439,2025-09-13,8005,9097,60,4,15,199.0
440,2025-09-13,3938,11315,53,8,15,199.0
441,2025-09-13,7801,10583,61,15,15,199.0
442,2025-09-13,11663,8042,70,12,15,199.0
443,2025-09-13,7343,283,39,11,15,199.0
444,2025-09-13,1525,4821,73,21,15,199.0
445,2025-09-13,3631,6626,55,20,15,199.0
446,2025-09-13,11335,3987,52,8,15,199.0
447,2025-09-13,5017,10879,51,13,15,199.0
448,2025-09-13,9529,6047,60,14,15,199.0
449,2025-09-13,7754,9069,80,3,15,199.0
450,2025-09-13,8699,5633,80,3,15,199.0
451,2025-09-13,6972,9018,34,1,15,199.0
452,2025-09-13,5420,5765,76,8,15,199.0
453,2025-09-13,11516,7435,47,14,15,199.0
454,2025-09-13,4439,5024,64,11,15,199.0
455,2025-09-13,4119,3778,62,6,15,199.0
456,2025-09-13,1977,11818,56,11,15,199.0
457,2025-09-13,3156,5170,50,6,15,199.0
458,2025-09-13,1959,8780,97,3,15,199.0
459,2025-09-13,11308,3034,92,10,15,199.0
460,2025-09-13,3139,3546,82,8,15,242.36
461,2025-09-13,7934,4531,74,9,15,295.66
462,2025-09-13,11872,9660,46,16,15,199.0
463,2025-09-13,8596,9778,88,21,15,199.0
464,2025-09-13,4637,1648,43,14,15,199.0
465,2025-09-13,3181,4854,104,12,15,199.0
466,2025-09-13,3728,5913,64,3,15,199.0
467,2025-09-13,2940,4953,86,8,15,199.0
468,2025-09-13,232,11601,71,19,15,199.0
469,2025-09-13,8752,2074,81,7,15,199.0
470,2025-09-13,4495,746,93,10,15,199.0
471,2025-09-13,894,9067,89,15,15,199.0
472,2025-09-13,4787,11427,107,8,15,199.0
473,2025-09-13,2069,10451,61,13,15,202.74
474,2025-09-13,8043,1681,71,15,15,199.0
475,2025-09-13,201,9406,51,6,15,199.0
476,2025-09-13,4659,7691,16,24,15,199.0
477,2025-09-13,7844,7217,55,10,15,199.0
478,2025-09-13,5583,3021,77,17,15,199.0
479,2025-09-13,842,4137,56,13,15,199.0
480,2025-09-13,7828,1870,95,14,15,199.0
481,2025-09-13,1071,6566,74,19,15,199.0
482,2025-09-13,8057,1214,31,14,15,199.0
483,2025-09-13,9454,10313,48,15,15,199.0
484,2025-09-13,11247,879,60,13,15,225.01
485,2025-09-13,2486,2445,65,27,15,199.0
486,2025-09-13,9222,4979,21,16,15,199.0
487,2025-09-13,1396,4067,88,16,15,199.0
488,2025-09-13,1941,9144,33,10,15,199.0
489,2025-09-13,6819,9934,47,15,15,220.69
490,2025-09-13,9767,10133,68,4,15,199.0
491,2025-09-13,3698,8562,86,8,15,199.0
492,2025-09-13,6233,7382,60,7,15,199.0
493,2025-09-13,7254,4872,57,14,15,199.0
494,2025-09-13,9643,7026,50,16,15,199.0
495,2025-09-13,5004,9317,97,9,15,199.0
496,2025-09-13,10175,987,80,3,15,199.0
497,2025-09-13,9989,1626,26,19,15,199.0
498,2025-09-13,3405,10249,116,8,15,199.0
499,2025-09-13,3458,4336,93,24,15,279.15
500,2025-09-13,10821,1331,86,18,15,199.0
501,2025-09-13,2574,3930,77,8,15,199.0
502,2025-09-13,2848,9044,59,10,15,199.0
503,2025-09-13,1230,2565,75,17,15,199.0
504,2025-09-13,44,6694,92,5,15,199.0
505,2025-09-13,7382,11295,44,0,15,199.0
506,2025-09-13,9730,7700,57,21,15,199.0
507,2025-09-13,4772,535,37,23,15,199.0
508,2025-09-13,3793,4721,72,10,15,199.0
509,2025-09-13,11583,4633,51,18,15,251.03
510,2025-09-13,11518,7439,93,9,15,199.0
511,2025-09-13,1167,11263,63,1,15,199.0
512,2025-09-13,3825,4335,56,9,15,199.0
513,2025-09-13,10241,9664,71,8,15,199.0
514,2025-09-13,10833,3242,0,11,15,234.67
515,2025-09-13,6966,1881,96,9,15,199.0
516,2025-09-13,8923,3684,70,6,15,199.0
517,2025-09-13,10611,2442,76,19,15,199.0
518,2025-09-13,4353,2331,55,6,15,199.0
519,2025-09-13,1170,978,55,14,15,199.0
520,2025-09-13,2719,5040,42,20,15,199.0
521,2025-09-13,9750,9326,59,7,15,199.0
522,2025-09-13,4729,7196,79,16,15,199.0
523,2025-09-13,2038,7680,61,15,15,199.0
524,2025-09-13,11284,4983,48,16,15,199.0
525,2025-09-13,11465,6595,66,3,15,199.0
526,2025-09-13,4461,8200,59,2,15,199.0
527,2025-09-13,8848,8091,43,7,15,199.0
528,2025-09-13,7173,1318,85,5,15,199.0
529,2025-09-13,9799,654,69,16,15,199.0
530,2025-09-13,7079,5281,51,7,15,199.0
531,2025-09-13,9892,4103,36,0,15,199.0
532,2025-09-13,424,1497,79,0,15,199.0
533,2025-09-13,3751,11048,73,24,15,199.0
534,2025-09-13,9425,9620,43,10,15,199.0
535,2025-09-13,340,11015,45,7,15,199.0
536,2025-09-13,4416,9442,39,12,15,214.78
537,2025-09-13,660,2871,67,10,15,199.0
538,2025-09-13,7709,8503,25,17,15,199.0
539,2025-09-13,10675,7246,56,31,15,199.0
540,2025-09-13,4558,2974,43,9,15,199.0
541,2025-09-13,9591,7142,62,3,15,199.0
542,2025-09-13,10401,8057,45,23,15,199.0
543,2025-09-13,1495,7701,50,19,15,199.0
544,2025-09-13,5701,6691,78,14,15,199.0
545,2025-09-13,5461,5261,45,18,15,199.0
546,2025-09-13,10980,1714,51,6,15,199.0
547,2025-09-13,2635,5404,105,5,15,199.0
548,2025-09-13,6745,11366,91,11,15,199.0
549,2025-09-13,8118,4723,36,14,15,199.0
550,2025-09-13,10856,6562,81,19,15,383.2
551,2025-09-13,9013,602,72,13,15,199.0
552,2025-09-13,7452,1443,52,14,15,199.0
553,2025-09-13,5154,4136,63,19,15,199.0
554,2025-09-13,5297,1900,85,19,15,199.0
555,2025-09-13,6623,8432,13,8,15,199.0
556,2025-09-13,19,10776,59,6,15,199.0
557,2025-09-13,8890,7570,78,15,15,199.0
558,2025-09-13,6771,889,51,9,15,199.0
559,2025-09-13,3074,8495,95,10,15,199.0
